Id,drugName,condition,rating,date,usefulCount
215739,C**,Birth Control,10,2017/3/8,0.0-50.0
17358,Z**,Obesity,10,2009/8/28,0.0-50.0
61315,C**,Depression,9,2017/10/8,0.0-50.0
173043,C**,Anxiety,10,2012/5/3,0.0-50.0
32569,L**,High Blood Pressure,9,2009/5/3,51.0-100.0
178802,V**,"Diabetes, Type 2",9,2014/7/25,51.0-100.0
188582,P**,Birth Control,10,2016/10/5,0.0-50.0
130599,L**,Birth Control,2,2012/8/16,0.0-50.0
60623,C**,Acne,10,2010/10/20,0.0-50.0
53301,Q**,Allergic Rhinitis,10,2017/4/17,0.0-50.0
165782,L**,Birth Control,9,2017/3/24,0.0-50.0
229932,F**,Breast Cance,7,2015/9/26,51.0-100.0
200029,V**,Smoking Cessation,10,2015/11/1,0.0-50.0
101328,A**,Birth Control,4,2016/11/27,0.0-50.0
78656,O**,Overactive Bladde,1,2016/9/19,51.0-100.0
63531,E**,Acne,9,2015/6/24,0.0-50.0
104604,E**,Birth Control,9,2011/6/3,0.0-50.0
211675,L**,Bipolar Disorde,7,2017/11/22,0.0-50.0
23033,M**,Opiate Withdrawal,10,2017/3/31,0.0-50.0
90624,D**,Herpes Simplex,8,2014/12/4,0.0-50.0
170126,Q**,Insomnia,10,2017/2/21,0.0-50.0
9471,L**,Birth Control,5,2016/8/3,0.0-50.0
222701,T**,Migraine Prevention,1,2015/9/14,0.0-50.0
202071,B**,Acne,9,2016/4/10,0.0-50.0
80214,B**,Cough,1,2015/6/24,0.0-50.0
186168,D**,Depression,9,2014/5/27,101.0-200.0
31269,M**,Vaginal Yeast Infection,1,2016/8/19,0.0-50.0
82107,L**,Weight Loss,10,2016/4/24,0.0-50.0
20525,V**,Seizures,9,2011/2/18,51.0-100.0
178661,V**,"Diabetes, Type 2",10,2017/1/31,0.0-50.0
112481,T**,Parkinson's Disease,2,2013/10/28,0.0-50.0
212579,V**,Nasal Polyps,10,2009/9/4,0.0-50.0
59975,N**,Birth Control,4,2015/7/9,0.0-50.0
217194,C**,Helicobacter Pylori Infection,1,2017/11/19,0.0-50.0
140981,E**,Generalized Anxiety Disorde,10,2016/3/22,51.0-100.0
21543,E**,Non-Small Cell Lung Cance,9,2016/1/29,0.0-50.0
20792,O**,Muscle Spasm,1,2015/5/2,0.0-50.0
165916,L**,Birth Control,10,2017/3/5,0.0-50.0
15803,E**,Birth Control,10,2016/8/10,0.0-50.0
55401,B**,Obesity,5,2015/10/20,0.0-50.0
99926,M**,Bowel Preparation,8,2016/2/2,0.0-50.0
25794,E**,Birth Control,10,2012/6/14,0.0-50.0
154486,C**,Peripheral Arterial Disease,2,2013/2/4,0.0-50.0
219976,A**,ibromyalgia,9,2016/3/8,0.0-50.0
48043,C**,Bipolar Disorde,2,2017/6/19,0.0-50.0
92195,L**,Reflex Sympathetic Dystrophy Syndrome,1,2009/12/7,0.0-50.0
100775,O**,Obesity,7,2016/4/15,51.0-100.0
166338,L**,Emergency Contraception,4,2016/11/21,0.0-50.0
96783,N**,Peripheral Neuropathy,10,2008/4/28,101.0-200.0
196792,P**,Depression,1,2017/5/1,0.0-50.0
50870,A**,Sinusitis,9,2017/5/30,0.0-50.0
103910,E**,Birth Control,2,2014/9/10,0.0-50.0
46285,M**,Depression,10,2016/3/10,0.0-50.0
11488,P**,Restless Legs Syndrome,8,2017/6/21,0.0-50.0
32533,L**,High Blood Pressure,8,2011/5/30,51.0-100.0
216987,O**,Bipolar Disorde,8,2015/12/5,0.0-50.0
169720,A**,Migraine Prevention,3,2011/11/12,0.0-50.0
17067,F**,Muscle Spasm,7,2015/10/25,51.0-100.0
39281,C**,Weight Loss,1,2017/3/10,0.0-50.0
19288,P**,Neuropathic Pain,1,2016/7/6,0.0-50.0
29976,K**,Anxiety,7,2016/7/10,51.0-100.0
185717,S**,Obesity,10,2016/5/23,0.0-50.0
17919,E**,Birth Control,10,2013/1/10,0.0-50.0
127940,P**,Weight Loss,10,2016/11/10,0.0-50.0
142138,E**,Depression,8,2008/7/17,0.0-50.0
149818,M**,Birth Control,10,2012/1/2,0.0-50.0
97798,N**,Birth Control,4,2015/11/5,0.0-50.0
57023,R**,GERD,10,2009/3/3,51.0-100.0
45142,F**,Anxiety and Stress,1,2016/7/28,0.0-50.0
124716,T**,Birth Control,9,2016/12/30,0.0-50.0
30503,M**,Irritable Bowel Syndrome,9,2016/4/10,0.0-50.0
160269,B**,Anxiety,8,2017/6/12,0.0-50.0
220603,L**,Abnormal Uterine Bleeding,3,2011/6/10,0.0-50.0
100597,D**,Birth Control,2,2010/9/15,0.0-50.0
81752,L**,Obesity,8,2017/4/18,0.0-50.0
104983,E**,Ovarian Cysts,1,2009/7/14,0.0-50.0
145328,L**,Keratitis,5,2016/11/7,0.0-50.0
183832,O**,Diarrhea,10,2017/2/21,0.0-50.0
98955,L**,Birth Control,8,2016/10/9,0.0-50.0
27784,L**,Anxiety,9,2017/5/17,0.0-50.0
213149,N**,4</span> users found this comment helpful.,3,2015/6/26,0.0-50.0
110775,I**,"Diarrhea, Acute",8,2016/3/28,0.0-50.0
50833,A**,Chlamydia Infection,6,2017/8/16,0.0-50.0
227368,E**,Birth Control,9,2013/9/1,0.0-50.0
180234,D**,Pain,10,2017/5/3,0.0-50.0
190827,L**,Prostate Cance,8,2016/1/23,0.0-50.0
106730,I**,Birth Control,8,2015/6/14,0.0-50.0
78638,F**,Bowel Preparation,1,2016/2/3,0.0-50.0
164062,I**,Pain,10,2011/5/3,0.0-50.0
182185,C**,Depression,9,2014/9/3,51.0-100.0
36939,L**,Anxiety,10,2017/1/9,0.0-50.0
152146,C**,Smoking Cessation,9,2009/3/20,0.0-50.0
73448,E**,Birth Control,9,2013/11/30,0.0-50.0
49871,G**,Diabetic Peripheral Neuropathy,8,2016/3/24,0.0-50.0
99180,L**,0</span> users found this comment helpful.,10,2011/10/24,0.0-50.0
90058,A**,Pulmonary Hypertension,2,2015/9/23,0.0-50.0
73486,E**,Birth Control,6,2013/9/2,0.0-50.0
94743,A**,Bipolar Disorde,1,2014/9/15,0.0-50.0
110307,N**,Birth Control,10,2016/2/29,0.0-50.0
192089,D**,Birth Control,9,2016/10/7,0.0-50.0
221031,J**,5</span> users found this comment helpful.,10,2011/9/29,0.0-50.0
106825,I**,Birth Control,9,2015/1/7,0.0-50.0
134922,P**,Soft Tissue Sarcoma,9,2015/2/19,51.0-100.0
217482,C**,Bronchitis,8,2015/3/26,0.0-50.0
32453,L**,High Blood Pressure,6,2013/5/28,51.0-100.0
221549,N**,"Diabetes, Type 1",10,2009/5/25,0.0-50.0
102611,A**,Depression,9,2016/1/10,101.0-200.0
112471,A**,GERD,10,2012/3/9,0.0-50.0
34428,B**,High Blood Pressure,10,2009/11/19,51.0-100.0
86360,M**,,4,2012/5/16,0.0-50.0
80508,M**,Osteoarthritis,1,2017/5/4,0.0-50.0
12474,O**,Birth Control,8,2016/2/17,0.0-50.0
95099,G**,ADHD,8,2017/10/17,0.0-50.0
119187,N**,Vaginal Yeast Infection,1,2013/10/21,0.0-50.0
4966,O**,Birth Control,10,2016/9/27,0.0-50.0
30229,K**,Panic Disorde,10,2013/3/6,101.0-200.0
98190,N**,Birth Control,1,2015/7/7,0.0-50.0
151881,C**,Smoking Cessation,10,2012/5/4,0.0-50.0
112987,B**,Constipation,1,2017/3/21,0.0-50.0
160698,B**,Anxiety,7,2012/9/10,0.0-50.0
69708,I**,Osteoporosis,10,2015/10/10,0.0-50.0
165737,L**,Birth Control,8,2017/4/6,0.0-50.0
157844,A**,Acne,10,2013/5/14,0.0-50.0
147773,N**,Birth Control,1,2017/4/28,0.0-50.0
7679,X**,Anxiety,10,2014/2/25,101.0-200.0
35943,B**,Opiate Dependence,10,2013/7/13,0.0-50.0
18797,E**,Urinary Incontinence,6,2012/7/22,0.0-50.0
65660,P**,Migraine Prevention,10,2016/12/27,0.0-50.0
91204,B**,Migraine Prevention,10,2015/2/4,101.0-200.0
76725,L**,Weight Loss,10,2016/9/5,0.0-50.0
96270,S**,Depression,9,2011/3/29,0.0-50.0
214323,T**,Vaginal Yeast Infection,1,2015/12/29,0.0-50.0
111165,L**,Hepatitis C,2,2017/2/20,0.0-50.0
49221,E**,Birth Control,5,2016/5/17,0.0-50.0
27049,U**,Pain,1,2009/6/25,0.0-50.0
13946,B**,"Diabetes, Type 2",10,2013/1/23,51.0-100.0
191650,L**,ADHD,3,2013/4/15,0.0-50.0
